sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
gossip-statefulset-3,gossip-statefulset-1,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743879949507e+18,,gossip-statefulset-1(10.80.3.4) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-3
gossip-statefulset-0,gossip-statefulset-1,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743879882808e+18,,gossip-statefulset-1(10.80.3.4) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-6,gossip-statefulset-1,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743880363412e+18,,gossip-statefulset-1(10.80.3.4) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-6
gossip-statefulset-0,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882059694e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-8,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.742074388097663e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-8
gossip-statefulset-3,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881823419e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-3
gossip-statefulset-1,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882579919e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-1
gossip-statefulset-0,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882912963e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-9,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881284311e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-9
gossip-statefulset-2,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882334912e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-2
gossip-statefulset-4,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881645855e+18,,gossip-statefulset-6(10.80.3.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-4
gossip-statefulset-5,gossip-statefulset-6,nodes10_Mar102025195724_Full1.0-2493-1,received,1.7420743880306406e+18,2.092875,gossip-statefulset-6(10.80.3.5) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-5 in 2.09 ms 
gossip-statefulset-0,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882148897e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-0,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743883011517e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-4,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881716603e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-4
gossip-statefulset-2,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.74207438824152e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-2
gossip-statefulset-6,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881458673e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-6
gossip-statefulset-5,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881573056e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-5
gossip-statefulset-1,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882652657e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-1
gossip-statefulset-7,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,received,1.7420743880762857e+18,3.577028,gossip-statefulset-8(10.80.1.6) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-7 in 3.58 ms 
gossip-statefulset-3,gossip-statefulset-8,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881893765e+18,,gossip-statefulset-8(10.80.1.6) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-3
gossip-statefulset-0,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882963574e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-9,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881332421e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-9
gossip-statefulset-4,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881683584e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-4
gossip-statefulset-5,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881536351e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-5
gossip-statefulset-0,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882099369e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-0
gossip-statefulset-3,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743881864182e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-3
gossip-statefulset-6,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,received,1.7420743880484137e+18,2.942768,gossip-statefulset-7(10.80.0.5) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-6 in 2.94 ms 
gossip-statefulset-1,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882618509e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-1
gossip-statefulset-2,gossip-statefulset-7,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.7420743882374843e+18,,gossip-statefulset-7(10.80.0.5) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-2
gossip-statefulset-8,gossip-statefulset-0,nodes10_Mar102025195724_Full1.0-2493-1,duplicate,1.742074388079116e+18,,gossip-statefulset-0(10.80.0.4) ignoring duplicate message: nodes10_Mar102025195724_Full1.0-2493-1 from gossip-statefulset-8
gossip-statefulset-2,gossip-statefulset-0,nodes10_Mar102025195724_Full1.0-2493-1,received,1.7420743879862546e+18,3.314708,gossip-statefulset-0(10.80.0.4) received: 'nodes10_Mar102025195724_Full1.0-2493-1' from gossip-statefulset-2 in 3.31 ms 
